study,subject_idx,condition,accuracy,confidence
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,0,1
Wierzchon_2014,EXP1_50,D_then_C,0,3
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,3
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,1
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,0,1
Wierzchon_2014,EXP1_50,D_then_C,0,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,3
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,1
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,0,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,4
Wierzchon_2014,EXP1_50,D_then_C,1,2
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,2
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,3
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,2
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,2
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,0,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,3
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
Wierzchon_2014,EXP1_51,D_then_C,1,4
